,Province/State,Country/Region,date,Lat,Long,confirmed,deaths,recoveries
0,,Afghanistan,1/22/20,33.0,65.0,0,0,0
1,,Albania,1/22/20,41.1533,20.1683,0,0,0
2,,Algeria,1/22/20,28.0339,1.6596,0,0,0
3,,Andorra,1/22/20,42.5063,1.5218,0,0,0
4,,Angola,1/22/20,-11.2027,17.8739,0,0,0
5,,Antigua and Barbuda,1/22/20,17.0608,-61.7964,0,0,0
6,,Argentina,1/22/20,-38.4161,-63.6167,0,0,0
7,,Armenia,1/22/20,40.0691,45.0382,0,0,0
8,Australian Capital Territory,Australia,1/22/20,-35.4735,149.0124,0,0,0
9,New South Wales,Australia,1/22/20,-33.8688,151.2093,0,0,0
10,Northern Territory,Australia,1/22/20,-12.4634,130.8456,0,0,0
11,Queensland,Australia,1/22/20,-28.0167,153.4,0,0,0
12,South Australia,Australia,1/22/20,-34.9285,138.6007,0,0,0
13,Tasmania,Australia,1/22/20,-41.4545,145.9707,0,0,0
14,Victoria,Australia,1/22/20,-37.8136,144.9631,0,0,0
15,Western Australia,Australia,1/22/20,-31.9505,115.8605,0,0,0
16,,Austria,1/22/20,47.5162,14.5501,0,0,0
17,,Azerbaijan,1/22/20,40.1431,47.5769,0,0,0
18,,Bahamas,1/22/20,25.0343,-77.3963,0,0,0
19,,Bahrain,1/22/20,26.0275,50.55,0,0,0
20,,Bangladesh,1/22/20,23.685,90.3563,0,0,0
21,,Barbados,1/22/20,13.1939,-59.5432,0,0,0
22,,Belarus,1/22/20,53.7098,27.9534,0,0,0
23,,Belgium,1/22/20,50.8333,4.0,0,0,0
24,,Benin,1/22/20,9.3077,2.3158,0,0,0
25,,Bhutan,1/22/20,27.5142,90.4336,0,0,0
26,,Bolivia,1/22/20,-16.2902,-63.5887,0,0,0
27,,Bosnia and Herzegovina,1/22/20,43.9159,17.6791,0,0,0
28,,Brazil,1/22/20,-14.235,-51.9253,0,0,0
29,,Brunei,1/22/20,4.5353,114.7277,0,0,0
30,,Bulgaria,1/22/20,42.7339,25.4858,0,0,0
31,,Burkina Faso,1/22/20,12.2383,-1.5616,0,0,0
32,,Cabo Verde,1/22/20,16.5388,-23.0418,0,0,0
33,,Cambodia,1/22/20,11.55,104.9167,0,0,0
34,,Cameroon,1/22/20,3.848,11.5021,0,0,0
35,,Central African Republic,1/22/20,6.6111,20.9394,0,0,0
36,,Chad,1/22/20,15.4542,18.7322,0,0,0
37,,Chile,1/22/20,-35.6751,-71.543,0,0,0
38,Anhui,China,1/22/20,31.8257,117.2264,1,0,0
39,Beijing,China,1/22/20,40.1824,116.4142,14,0,0
40,Chongqing,China,1/22/20,30.0572,107.874,6,0,0
41,Fujian,China,1/22/20,26.0789,117.9874,1,0,0
42,Gansu,China,1/22/20,37.8099,101.0583,0,0,0
43,Guangdong,China,1/22/20,23.3417,113.4244,26,0,0
44,Guangxi,China,1/22/20,23.8298,108.7881,2,0,0
45,Guizhou,China,1/22/20,26.8154,106.8748,1,0,0
46,Hainan,China,1/22/20,19.1959,109.7453,4,0,0
47,Hebei,China,1/22/20,39.549,116.1306,1,0,0
48,Heilongjiang,China,1/22/20,47.862,127.7615,0,0,0
49,Henan,China,1/22/20,33.882,113.614,5,0,0
50,Hong Kong,China,1/22/20,22.3,114.2,0,0,0
51,Hubei,China,1/22/20,30.9756,112.2707,444,17,28
52,Hunan,China,1/22/20,27.6104,111.7088,4,0,0
53,Inner Mongolia,China,1/22/20,44.0935,113.9448,0,0,0
54,Jiangsu,China,1/22/20,32.9711,119.455,1,0,0
55,Jiangxi,China,1/22/20,27.614,115.7221,2,0,0
56,Jilin,China,1/22/20,43.6661,126.1923,0,0,0
57,Liaoning,China,1/22/20,41.2956,122.6085,2,0,0
58,Macau,China,1/22/20,22.1667,113.55,1,0,0
59,Ningxia,China,1/22/20,37.2692,106.1655,1,0,0
60,Qinghai,China,1/22/20,35.7452,95.9956,0,0,0
61,Shaanxi,China,1/22/20,35.1917,108.8701,0,0,0
62,Shandong,China,1/22/20,36.3427,118.1498,2,0,0
63,Shanghai,China,1/22/20,31.202,121.4491,9,0,0
64,Shanxi,China,1/22/20,37.5777,112.2922,1,0,0
65,Sichuan,China,1/22/20,30.6171,102.7103,5,0,0
66,Tianjin,China,1/22/20,39.3054,117.323,4,0,0
67,Tibet,China,1/22/20,31.6927,88.0924,0,0,0
68,Xinjiang,China,1/22/20,41.1129,85.2401,0,0,0
69,Yunnan,China,1/22/20,24.974,101.487,1,0,0
70,Zhejiang,China,1/22/20,29.1832,120.0934,10,0,0
71,,Colombia,1/22/20,4.5709,-74.2973,0,0,0
72,,Congo (Brazzaville),1/22/20,-4.0383,21.7587,0,0,0
73,,Congo (Kinshasa),1/22/20,-4.0383,21.7587,0,0,0
74,,Costa Rica,1/22/20,9.7489,-83.7534,0,0,0
75,,Cote d'Ivoire,1/22/20,7.54,-5.5471,0,0,0
76,,Croatia,1/22/20,45.1,15.2,0,0,0
77,,Diamond Princess,1/22/20,0.0,0.0,0,0,0
78,,Cuba,1/22/20,22.0,-80.0,0,0,0
79,,Cyprus,1/22/20,35.1264,33.4299,0,0,0
80,,Czechia,1/22/20,49.8175,15.473,0,0,0
81,Faroe Islands,Denmark,1/22/20,61.8926,-6.9118,0,0,0
82,Greenland,Denmark,1/22/20,71.7069,-42.6043,0,0,0
83,,Denmark,1/22/20,56.2639,9.5018,0,0,0
84,,Djibouti,1/22/20,11.8251,42.5903,0,0,0
85,,Dominican Republic,1/22/20,18.7357,-70.1627,0,0,0
86,,Ecuador,1/22/20,-1.8312,-78.1834,0,0,0
87,,Egypt,1/22/20,26.0,30.0,0,0,0
88,,El Salvador,1/22/20,13.7942,-88.8965,0,0,0
89,,Equatorial Guinea,1/22/20,1.5,10.0,0,0,0
90,,Eritrea,1/22/20,15.1794,39.7823,0,0,0
91,,Estonia,1/22/20,58.5953,25.0136,0,0,0
92,,Eswatini,1/22/20,-26.5225,31.4659,0,0,0
93,,Ethiopia,1/22/20,9.145,40.4897,0,0,0
94,,Fiji,1/22/20,-17.7134,178.065,0,0,0
95,,Finland,1/22/20,64.0,26.0,0,0,0
96,French Guiana,France,1/22/20,3.9339,-53.1258,0,0,0
97,French Polynesia,France,1/22/20,-17.6797,149.4068,0,0,0
98,Guadeloupe,France,1/22/20,16.25,-61.5833,0,0,0
99,Mayotte,France,1/22/20,-12.8275,45.1662,0,0,0
100,New Caledonia,France,1/22/20,-20.9043,165.618,0,0,0
101,Reunion,France,1/22/20,-21.1351,55.2471,0,0,0
102,Saint Barthelemy,France,1/22/20,17.9,-62.8333,0,0,0
103,St Martin,France,1/22/20,18.0708,-63.0501,0,0,0
104,Martinique,France,1/22/20,14.6415,-61.0242,0,0,0
105,,France,1/22/20,46.2276,2.2137,0,0,0
106,,Gabon,1/22/20,-0.8037,11.6094,0,0,0
107,,Gambia,1/22/20,13.4432,-15.3101,0,0,0
108,,Georgia,1/22/20,42.3154,43.3569,0,0,0
109,,Germany,1/22/20,51.0,9.0,0,0,0
110,,Ghana,1/22/20,7.9465,-1.0232,0,0,0
111,,Greece,1/22/20,39.0742,21.8243,0,0,0
112,,Guatemala,1/22/20,15.7835,-90.2308,0,0,0
113,,Guinea,1/22/20,9.9456,-9.6966,0,0,0
114,,Guyana,1/22/20,5.0,-58.75,0,0,0
115,,Haiti,1/22/20,18.9712,-72.2852,0,0,0
116,,Holy See,1/22/20,41.9029,12.4534,0,0,0
117,,Honduras,1/22/20,15.2,-86.2419,0,0,0
118,,Hungary,1/22/20,47.1625,19.5033,0,0,0
119,,Iceland,1/22/20,64.9631,-19.0208,0,0,0
120,,India,1/22/20,21.0,78.0,0,0,0
121,,Indonesia,1/22/20,-0.7893,113.9213,0,0,0
122,,Iran,1/22/20,32.0,53.0,0,0,0
123,,Iraq,1/22/20,33.0,44.0,0,0,0
124,,Ireland,1/22/20,53.1424,-7.6921,0,0,0
125,,Israel,1/22/20,31.0,35.0,0,0,0
126,,Italy,1/22/20,43.0,12.0,0,0,0
127,,Jamaica,1/22/20,18.1096,-77.2975,0,0,0
128,,Japan,1/22/20,36.0,138.0,2,0,0
129,,Jordan,1/22/20,31.24,36.51,0,0,0
130,,Kazakhstan,1/22/20,48.0196,66.9237,0,0,0
131,,Kenya,1/22/20,-0.0236,37.9062,0,0,0
132,,"Korea, South",1/22/20,36.0,128.0,1,0,0
133,,Kuwait,1/22/20,29.5,47.75,0,0,0
134,,Kyrgyzstan,1/22/20,41.2044,74.7661,0,0,0
135,,Latvia,1/22/20,56.8796,24.6032,0,0,0
136,,Lebanon,1/22/20,33.8547,35.8623,0,0,0
137,,Liberia,1/22/20,6.4281,-9.4295,0,0,0
138,,Liechtenstein,1/22/20,47.14,9.55,0,0,0
139,,Lithuania,1/22/20,55.1694,23.8813,0,0,0
